"lat" "lng" "bearing" "speed" "user_id" "time" "wday" "time_to_wifi"
"174" 40.3463 -74.6582 328.78 1.1875 3 9513.93099999428 5 120
"175" 40.3463 -74.6582 1.41 0.4375 3 12627.25 5 0
"176" 40.3463 -74.658 12.86 0.6875 3 14069.9489998817 5 0
"177" 40.3464 -74.6582 1.07 0.5 3 19530.7109999657 5 0
"178" 40.3465 -74.6583 216.97 0.375 3 24931.2829999924 5 0
"179" 40.3487 -74.6527 359.45 0.5 3 42329.378000021 5 0
"180" 40.3487 -74.6551 239.63 1 3 77062.7890000343 3 60
"181" 40.3499 -74.653 328.17 0.9375 3 61470.5690000057 4 0
"182" 40.3463 -74.6581 13.37 0.8125 3 1529.51699995995 5 0
"183" 40.3464 -74.658 3.38 0.875 3 3927.23900008202 5 0
"184" 40.3463 -74.6582 2.7 0.5625 3 12690.3559999466 5 0
"185" 40.3464 -74.6582 2.62 0.6875 3 19589.4479999542 5 0
"186" 40.35 -74.6528 359.01 0.6875 3 29551.128000021 5 0
"187" 40.3487 -74.6528 4.53 0.25 3 42386.9309999943 5 0
"188" 40.3488 -74.6584 3.58 0.4375 3 62848.6700000763 3 0
"189" 40.3484 -74.6557 348.5 1.5625 3 77127.3250000477 3 0
"190" 40.3465 -74.6582 20.89 2.5 3 2426.78200006485 4 0
"191" 40.3499 -74.6531 349.49 0.9375 3 61529.2239999771 4 0
"192" 40.3463 -74.658 0.09 0.5 3 1168.73699998856 5 0
"193" 40.3462 -74.6579 359.81 0.75 3 3386.42499995232 5 0
"194" 40.3464 -74.6582 342.08 2 3 13108.3450000286 5 0
"195" 40.3463 -74.6582 7.22 1.0625 3 16406.9249999523 5 0
"196" 40.3463 -74.6583 39.02 1.1875 3 17490.4089999199 5 0
"197" 40.3464 -74.6582 0.28 0.625 3 19647.2839999199 5 0
"198" 40.3463 -74.658 207.88 0.8125 3 24632.3710000515 5 0
"199" 40.3463 -74.6583 18.76 1.4375 3 26190.9879999161 5 0
"200" 40.3486 -74.6528 1.13 0.25 3 42447.3389999866 5 0
"201" 40.3491 -74.6578 2.03 1.1875 3 62906.0490000248 3 0
"202" 40.3464 -74.6583 350.64 0.3125 3 26671.7860000134 4 0
"203" 40.3499 -74.6529 1.41 0.8125 3 61586.0480000973 4 0
"204" 40.3464 -74.658 4.4 1.3125 3 988.740000009537 5 0
"205" 40.3464 -74.6579 349.78 1.0625 3 5610.36800003052 5 0
"206" 40.3464 -74.6582 353.93 0.75 3 9692.34999990463 5 60
"207" 40.3463 -74.6581 11.95 0.5 3 14251.4909999371 5 0
"208" 40.3464 -74.6581 2.08 1.3125 3 19707.4820001125 5 0
"209" 40.3483 -74.6553 87.85 1.25 3 44675.5799999237 3 0
"210" 40.3486 -74.6538 356.22 1.25 3 44856.1970000267 3 0
"211" 40.3482 -74.6597 21.93 1.5 3 62726.6610000134 3 0
"212" 40.3484 -74.6561 26.04 0.75 3 62969.0280001163 3 360
"213" 40.348 -74.6573 346.24 0.625 3 77249.0729999542 3 0
"214" 40.3464 -74.658 359.65 1.0625 3 5369.09500002861 4 0
"215" 40.3462 -74.658 15.18 0.8125 3 6331.96799993515 4 0
"216" 40.3464 -74.6581 3.12 1.4375 3 6866.88400006294 4 0
"217" 40.3463 -74.6581 355.7 1.5625 3 8866.17100000381 4 0
"218" 40.3464 -74.6582 28.24 1.8125 3 15327.6440000534 4 0
"219" 40.3463 -74.6581 347.81 1 3 15509.9990000725 4 0
"220" 40.3464 -74.6581 359.79 0.1875 3 21507.7039999962 4 0
"221" 40.3499 -74.6529 358.98 0.875 3 61647.1540000439 4 0
"222" 40.3501 -74.6529 9.1 1.25 3 69026.2520000935 4 0
"223" 40.3463 -74.6579 229.11 0.125 3 85658.7620000839 4 0
"224" 40.3464 -74.658 24.04 0.5 3 1051.63400006294 5 0
"225" 40.3464 -74.658 1.52 0.4375 3 1227.65199995041 5 0
"226" 40.3463 -74.6581 359.19 0.5625 3 1707.92899990082 5 60
"227" 40.3463 -74.658 355.31 1.4375 3 3448.42700004578 5 0
"228" 40.3465 -74.6582 332.91 1.375 3 5674.51699995995 5 0
"229" 40.3464 -74.6581 26.94 0.3125 3 7355.63100004196 5 60
"230" 40.3462 -74.6582 21.95 0.375 3 14311.8849999905 5 0
"231" 40.3463 -74.6582 5.34 1.6875 3 14727.5710000992 5 0
"232" 40.3463 -74.6582 0.45 0.375 3 15750.128000021 5 0
"233" 40.3464 -74.658 16.81 1.875 3 24747.8320000172 5 0
"234" 40.3464 -74.6583 350.14 1.75 3 27030.5469999313 5 0
"235" 40.3463 -74.6585 23.05 1.8125 3 2668.54500007629 4 0
"236" 40.3464 -74.658 7.58 0.75 3 3570.91400003433 4 0
"237" 40.3464 -74.6583 2.6 0.5625 3 84990.1400001049 4 60
"238" 40.3463 -74.6581 358.87 1.4375 3 1287.23699998856 5 0
"239" 40.3464 -74.6579 6.21 0.8125 3 3567.28099989891 5 0
"240" 40.3464 -74.658 359.46 1.25 3 3868.41100001335 5 0
"241" 40.3463 -74.6582 0.81 0.75 3 13290.0160000324 5 0
"242" 40.3463 -74.6581 4 0.8125 3 16586.9349999428 5 0
"243" 40.3463 -74.6582 5.37 0.25 3 17670.3399999142 5 0
"244" 40.3464 -74.6582 35.03 1.375 3 19050.486000061 5 0
"245" 40.3466 -74.6579 6.81 0.75 3 20370.5179998875 5 0
"246" 40.3488 -74.6528 2.69 0.9375 3 42627.3389999866 5 0
"247" 40.3501 -74.6521 2.3 1 3 46289.9300000668 5 0
"248" 40.3487 -74.6551 2.02 1.5625 3 63084.8280000687 3 240
